 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,6700.316,13141.953,17333.203,0,61090,438.504,59.615,439.466,57.914,290.147,392.326,13.437,92.357,92.357,1.000,1.000,1.000,1.000
2,5596.992,11532.118,16778.461,0,62596,564.927,258.901,563.878,255.905,265.175,522.723,216.697,84.408,84.408,1.000,1.000,1.000,1.001
3,5116.894,12543.312,17490.317,0,63524,201.746,313.312,203.152,307.979,253.582,161.245,273.095,81.001,80.433,1.000,1.007,0.993,1.000
4,3894.083,11898.038,16955.892,0,61461,230.513,386.081,232.044,383.025,221.177,195.311,350.879,70.403,70.403,1.000,1.000,1.000,1.000
5,583.539,6813.108,9779.531,0,44015,165.220,350.879,165.959,351.437,85.617,151.593,337.253,27.253,27.253,1.000,1.000,1.000,0.998
6,832.256,7496.205,11231.219,0,47806,181.685,376.618,180.911,377.228,102.265,165.409,360.342,32.552,32.552,1.000,1.000,1.000,0.999
7,2828.189,10468.113,15631.772,0,56469,328.452,322.207,327.178,321.334,188.476,298.455,292.210,59.994,59.994,1.000,1.000,1.000,1.000
8,6347.190,11990.064,16945.442,0,63234,505.406,410.021,504.312,406.483,282.417,460.458,365.073,89.896,89.896,1.000,1.000,1.000,1.000
9,4236.355,12276.608,16396.197,0,62549,475.788,562.656,475.611,559.280,230.690,439.072,525.940,73.431,73.431,1.000,1.000,1.000,1.000
10,6838.894,11332.861,16658.448,0,60293,493.862,146.957,493.347,144.981,293.119,447.210,100.305,93.303,93.303,1.000,1.000,1.000,1.000
11,1170.804,11532.133,15531.879,0,55729,208.559,560.574,207.426,557.529,121.291,189.255,541.270,38.608,38.608,1.000,1.000,1.000,0.998
12,583.539,6035.879,9096.988,0,39619,340.092,413.333,339.634,413.538,85.617,326.465,399.707,27.253,27.253,1.000,1.000,1.000,0.998
13,5323.955,12329.782,17294.266,0,59904,295.522,125.760,294.856,123.824,258.635,254.359,84.597,82.326,82.326,1.000,1.000,1.000,1.000
14,6109.756,12889.269,17929.979,0,60861,186.795,187.363,186.875,183.582,277.066,142.698,143.266,88.193,88.193,1.000,1.000,1.000,1.000
15,3329.312,11108.999,15714.315,0,57714,110.714,109.011,112.559,105.241,204.530,78.162,76.459,65.104,65.104,1.000,1.000,1.000,0.999
16,3871.769,10581.529,16361.518,0,60675,105.131,201.084,103.827,197.926,220.583,70.024,165.977,70.214,70.214,1.000,1.000,1.000,1.000
17,4322.891,13490.012,18367.242,0,62543,61.886,297.888,63.227,295.867,233.069,24.792,260.794,74.188,74.188,1.000,1.000,1.000,0.999
18,3426.915,12314.255,17726.544,0,62872,97.750,441.816,94.292,439.498,207.502,64.725,408.791,66.050,66.050,1.000,1.000,1.000,1.001
19,931.543,9129.882,13284.824,0,53689,260.226,501.526,260.905,501.363,108.210,243.004,484.304,34.444,34.444,1.000,1.000,1.000,1.002
20,4127.076,12371.446,17072.063,0,62685,600.034,396.774,600.082,394.478,227.718,563.791,360.531,72.485,72.485,1.000,1.000,1.000,1.001
21,5571.669,13059.415,17423.414,0,64503,651.511,310.284,651.183,307.664,264.580,609.402,268.175,84.219,84.219,1.000,1.000,1.000,1.000
22,4279.766,12996.818,17160.971,0,58462,640.440,223.700,640.688,220.817,231.880,603.535,186.795,73.810,73.810,1.000,1.000,1.000,1.000
23,4322.891,10837.599,15010.926,0,55901,684.158,95.763,684.183,91.849,233.069,647.064,58.669,74.188,74.188,1.000,1.000,1.000,0.999
24,5349.135,13675.014,17598.546,0,61700,412.387,196.636,412.634,193.102,259.229,371.129,155.379,82.515,82.515,1.000,1.000,1.000,1.000
25,2498.202,11662.567,15991.646,0,61951,351.258,243.950,351.600,240.017,177.180,323.059,215.751,56.398,56.398,1.000,1.000,1.000,1.002
26,2583.770,10834.580,15194.810,0,54380,440.113,264.295,442.272,261.042,180.153,411.441,235.623,57.344,57.344,1.000,1.000,1.000,1.001
27,3998.849,10276.220,16068.497,0,60195,423.648,407.183,424.468,400.851,224.150,387.973,371.508,71.349,71.349,1.000,1.000,1.000,1.000
28,3407.394,12305.764,17104.370,0,60592,361.667,452.509,361.606,450.924,206.908,328.736,419.579,65.861,65.861,1.000,1.000,1.000,1.001
29,4434.247,11788.142,17473.549,0,62144,172.128,433.868,170.735,431.383,236.041,134.560,396.300,75.134,75.134,1.000,1.000,1.000,1.000
30,4660.041,12565.290,17063.384,0,59930,459.417,334.509,459.511,331.692,241.987,420.904,295.995,77.027,77.027,1.000,1.000,1.000,0.999
31,1830.312,8970.744,12903.771,0,50881,299.875,220.388,298.699,217.114,151.614,275.745,196.258,48.260,48.260,1.000,1.000,1.000,1.000
32,1553.944,7897.099,12293.887,0,52840,264.106,299.118,264.742,297.628,139.722,241.868,276.880,44.475,44.475,1.000,1.000,1.000,1.000
33,962.955,8513.414,11895.358,0,51718,256.535,338.861,256.405,337.109,109.994,239.029,321.355,35.012,35.012,1.000,1.000,1.000,0.998
34,3311.296,9335.593,13899.368,0,56212,556.126,59.332,556.138,57.244,203.935,523.669,26.874,64.915,64.915,1.000,1.000,1.000,1.000
35,4213.468,12389.505,16789.546,0,59008,573.538,177.805,572.673,176.833,230.096,536.917,141.184,73.242,73.242,1.000,1.000,1.000,0.999
36,1661.683,11971.478,16608.290,0,60905,137.494,483.263,137.469,479.967,144.479,114.499,460.269,45.989,45.989,1.000,1.000,1.000,1.001
37,535.974,7611.527,10982.933,0,50688,72.106,539.945,72.028,540.327,82.050,59.048,526.887,26.117,26.117,1.000,1.000,1.000,0.998
38,775.521,7150.477,11843.544,0,49094,270.824,602.967,271.446,602.354,98.697,255.116,587.259,31.416,31.416,1.000,1.000,1.000,1.000
39,359.214,6111.679,9293.487,0,43343,282.274,570.699,281.902,570.579,67.186,271.581,560.006,21.386,21.386,1.000,1.000,1.000,1.007
40,264.799,6833.298,8925.167,0,37747,301.010,570.131,300.933,570.450,57.673,291.832,560.952,18.358,18.358,1.000,1.000,1.000,0.999
41,353.018,5713.059,9050.977,0,41900,303.565,688.511,302.130,687.564,66.591,292.967,677.912,21.197,21.197,1.000,1.000,1.000,1.001
42,5798.573,13153.488,17388.162,0,60156,341.984,51.856,341.834,50.797,269.932,299.023,8.895,85.922,85.922,1.000,1.000,1.000,1.000
43,3008.996,10098.055,14212.840,0,53003,614.417,82.421,614.137,82.591,194.422,583.474,51.477,61.886,61.886,1.000,1.000,1.000,1.000
44,2704.081,8025.516,12683.939,0,54941,629.841,139.860,629.850,138.865,184.314,600.507,110.525,58.669,58.669,1.000,1.000,1.000,0.999
45,3830.793,11566.057,15980.836,0,58236,688.416,167.207,689.512,164.452,219.394,653.498,132.289,69.835,69.835,1.000,1.000,1.000,1.000
46,1437.286,9178.130,13293.756,0,51618,518.938,342.363,518.996,342.232,134.371,497.552,320.977,42.772,42.772,1.000,1.000,1.000,0.999
47,1037.562,7473.903,11400.673,0,48943,550.733,370.751,551.297,370.138,114.156,532.564,352.582,36.337,36.337,1.000,1.000,1.000,0.999
48,2844.486,11307.734,16237.061,0,61081,298.834,377.186,297.147,373.431,189.071,268.742,347.094,60.183,60.183,1.000,1.000,1.000,1.000
49,3586.088,10191.714,15850.203,0,60115,361.761,375.388,360.330,370.956,212.259,327.979,341.606,67.564,67.564,1.000,1.000,1.000,1.000
50,3998.849,11567.304,16921.133,0,62106,243.855,245.559,246.999,241.111,224.150,208.181,209.884,71.349,71.349,1.000,1.000,1.000,1.000
51,1961.225,11176.563,15137.002,0,54953,302.619,270.824,302.837,269.645,156.965,277.637,245.843,49.963,49.963,1.000,1.000,1.000,1.001
52,2448.380,8807.598,13444.638,0,51595,256.157,182.347,256.574,181.444,175.396,228.242,154.432,55.830,55.830,1.000,1.000,1.000,1.001
53,4062.569,11781.595,17308.063,0,61038,144.780,259.280,144.897,256.303,225.934,108.822,223.321,71.917,71.917,1.000,1.000,1.000,1.001
54,2316.141,8087.436,13169.194,0,53050,503.135,284.545,502.648,281.523,170.640,475.977,257.387,54.316,54.316,1.000,1.000,1.000,1.001
55,2897.961,10952.872,15995.216,0,60683,576.945,331.859,577.078,329.527,190.855,546.569,301.484,60.751,60.751,1.000,1.000,1.000,1.000
56,4760.008,13349.426,16843.030,0,58224,104.469,33.172,105.154,30.971,253.284,64.158,0.000,80.623,70.971,0.932,1.115,0.897,0.933
57,3977.323,11939.027,16193.977,0,59417,259.469,53.938,263.245,50.170,223.556,223.889,18.358,71.160,71.160,1.000,1.000,1.000,1.000
58,2990.478,9673.537,14506.670,0,56216,225.592,124.530,226.563,122.458,193.827,194.744,93.681,61.697,61.697,1.000,1.000,1.000,0.999
59,150.326,4641.280,7821.486,0,35486,117.054,359.490,116.929,359.741,43.403,110.147,352.582,13.816,13.816,1.000,1.000,1.000,1.002
60,328.662,9450.781,12204.584,0,46744,108.443,288.803,108.384,288.411,64.213,98.223,278.584,20.440,20.440,1.000,1.000,1.000,1.000
61,404.881,7761.425,11223.327,0,44785,64.536,612.430,64.877,611.789,71.348,53.181,601.075,22.711,22.711,0.999,1.000,1.000,1.001
62,1026.137,10472.849,14458.203,0,57537,121.029,658.703,119.092,656.532,113.561,102.955,640.629,36.148,36.148,1.000,1.000,1.000,1.000
63,676.701,9566.244,13098.587,0,53726,147.335,681.035,145.760,678.678,92.157,132.668,666.368,29.335,29.335,1.000,1.000,1.000,0.999
64,842.608,9124.479,12421.314,0,53394,151.877,742.354,152.137,741.132,102.859,135.507,725.983,32.741,32.741,1.000,1.000,1.000,1.001
65,624.980,7184.063,11029.565,0,47907,149.417,712.641,150.088,713.644,88.590,135.317,698.541,28.199,28.199,1.000,1.000,1.000,1.001
66,1288.572,9851.777,14010.208,0,55465,646.117,579.121,646.383,579.029,127.236,625.867,558.871,40.501,40.501,1.000,1.000,1.000,0.998
